Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-81.25,-100,-51,-100,3
-88,-100,-62.25,-90,3
-88.5,-100,-59.333,-100,3
-87.333,-100,-58.75,-82,3
-79.5,-100,-63.333,-98,3
-85.25,-100,-59,-100,3
-83.667,-100,-51.75,-97,3
-83.8,-100,-60.6,-100,3
-92.25,-100,-52.5,-100,3
-85.2,-100,-58.714,-100,3
-88,-100,-64.667,-100,3
-80,-100,-48.75,-100,3
-84,-100,-56.667,-97,3
-88.5,-100,-55.333,-98,3
-85.667,-100,-53.5,-100,3
-81,-100,-62.4,-92,3
-80,-100,-59.25,-91.2,3
-84,-100,-70.5,-82,3
-81.4,-100,-62,-86,3
-84.5,-100,-64.333,-79.5,3
-81,-100,-67.5,-82,3
-89.75,-100,-77,-88.333,3
-80.5,-100,-68.2,-80,3
-87.8,-100,-64,-93,3
-84,-100,-66,-84,3
-81.667,-100,-66.6,-93,3
-79.25,-100,-59.5,-91,3
-80,-100,-60.25,-86.5,3
-84.5,-100,-65,-92.333,3
-83,-100,-72.75,-100,3
-83.833,-100,-71.333,-90.333,3
-89.667,-100,-68.6,-84,3
-80.25,-100,-66.75,-89.333,3
-82.5,-100,-64.5,-87,3
-86.75,-100,-69,-88.667,3
-91.5,-100,-72.4,-82.667,3
-80,-100,-68.2,-96,3
-100,-100,-72.5,-100,3
-78,-100,-65.6,-84,3
-86.5,-100,-63.5,-87,3
-85.5,-100,-54.25,-100,3
-94,-100,-70.5,-100,3
-94.333,-100,-64,-100,3
-87.75,-100,-54.333,-100,3
-100,-100,-56.25,-100,3
-89,-100,-58.6,-100,3
-90.333,-100,-57.75,-100,3
-92,-100,-58.5,-100,3
-101,-100,-60,-100,3
-89,-100,-66.8,-100,3
-90.5,-100,-61,-100,3
-88,-100,-59.75,-90,3
-100,-100,-65,-100,3
-90.75,-100,-62,-88,3
-95.5,-100,-62,-84,3
-90,-100,-59.6,-85,3
-89,-100,-50.667,-92,3
-71.25,-100,-42.2,-89,3
-83.2,-100,-33,-100,3
-83.333,-100,-25.333,-100,3
-87.6,-100,-36,-100,3
-76.667,-100,-28.333,-100,3
-85,-100,-36,-100,3
-70,-100,-39.25,-100,3
-78.75,-100,-31.6,-100,3
-78.5,-100,-38.4,-100,3
-78.6,-100,-33,-100,3
-79.2,-100,-36.75,-100,3
-88,-100,-46.75,-86,3
-100,-34,-100,-100,2
-100,-38.5,-100,-100,2
-100,-32,-100,-100,2
-100,-34.333,-100,-100,2
-100,-31.5,-100,-100,2
-100,-26.75,-100,-100,2
-100,-29,-100,-100,2
-100,-30.25,-100,-100,2
-100,-46,-100,-100,2
-100,-63,-100,-100,2
-100,-75.8,-100,-100,2
-100,-79.333,-100,-100,2
-100,-82.333,-100,-100,2
-100,-81.6,-100,-82,2
-92.5,-69.5,-100,-84,2
-100,-76,-100,-94,2
-100,-79.2,-100,-87,2
-100,-66.5,-100,-100,2
-100,-63.2,-100,-100,2
-100,-64.333,-100,-100,2
-100,-60.2,-100,-100,2
-100,-66.5,-100,-100,2
-100,-82.167,-100,-85,2
-100,-73.25,-100,-88,2
-100,-77.2,-100,-92.5,2
-87,-78.2,-100,-92,2
-100,-88,-100,-85.5,2
-100,-74.333,-100,-100,2
-100,-71.2,-100,-100,2
-100,-63.4,-100,-100,2
-100,-61.5,-100,-100,2
-100,-72.5,-100,-100,2
-100,-75,-100,-100,2
-100,-70,-100,-79,2
-100,-68.4,-100,-100,2
-100,-76.75,-100,-100,2
-100,-71.8,-100,-85,2
-100,-82.667,-100,-82,2
-100,-88.5,-100,-90,2
-100,-75.25,-100,-100,2
-100,-64,-100,-100,2
-100,-64.75,-100,-100,2
-100,-63.2,-100,-100,2
-100,-58.4,-100,-100,2
-100,-60.167,-100,-99,2
-100,-76.5,-100,-97,2
-100,-77.25,-100,-87,2
-100,-77.6,-100,-83,2
-100,-79,-100,-82,2
-100,-78.333,-100,-100,2
-100,-70,-100,-84.5,2
-100,-77.75,-100,-82,2
-100,-74,-100,-100,2
-100,-62.4,-100,-100,2
