Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-97.878,-61.907,-99.373,-94.522,2,0.93594,-0.12422,-0.035156
-99.831,-59.62,-100.13,-94.372,2,0.935,-0.16,-0.095
-101.69,-58.322,-101.06,-93.07,2,0.97083,-0.17917,-0.020833
-102.38,-58.603,-101.76,-90.961,2,0.93281,-0.075,-0.12469
-100.84,-60.791,-101.82,-88.649,2,1.0391,-0.11354,-0.2651
-96.304,-64.866,-100.85,-86.835,2,0.92569,-0.11979,-0.10556
-88.63,-70.462,-98.645,-86.122,2,0.93411,-0.18073,-0.1526
-78.397,-76.95,-95.228,-86.829,2,0.925,-0.11016,-0.11797
-66.867,-83.578,-90.903,-88.886,2,0.9349,-0.21302,-0.22604
-55.725,-89.626,-86.184,-91.837,1,-0.03125,-0.6375,-0.66042
-46.695,-94.547,-81.692,-94.961,1,-0.03125,-0.64896,-0.65417
-41.122,-98.057,-78.016,-97.473,1,-0.034063,-0.65219,-0.65766
-39.638,-100.15,-75.573,-98.75,1,-0.035937,-0.6625,-0.65625
-42.013,-101.05,-74.51,-98.511,1,-0.31875,-0.69063,-0.53594
-47.229,-101.11,-74.677,-96.9,1,-0.16437,-0.80313,-0.14906
-53.755,-100.74,-75.67,-94.434,1,-0.4625,-0.77187,-0.2684
-59.948,-100.26,-76.939,-91.848,1,-0.24375,-0.81,-0.39625
-64.473,-99.897,-77.936,-89.869,1,-0.64375,-0.61319,-0.40538
-66.605,-99.724,-78.258,-89.004,1,-0.22153,-0.62083,0.58264
-66.367,-99.726,-77.742,-89.389,1,-0.29219,0.32995,0.66432
-64.44,-99.826,-76.505,-90.77,1,-0.42333,0.3399,0.82625
-61.912,-99.941,-74.904,-92.593,1,-0.1099,-0.42188,0.90677
-59.926,-100.02,-73.428,-94.194,1,-0.23,-0.56604,0.76674
-59.354,-100.03,-72.566,-95.013,1,-0.017188,-0.32344,0.91563
-60.573,-100.02,-72.668,-94.768,1,-0.0054687,-0.18359,0.85703
-63.407,-99.999,-73.855,-93.529,1,0.044444,0.091667,0.99583
-67.242,-100,-75.986,-91.684,1,0.44479,-0.89635,0.32396
-71.249,-100.03,-78.692,-89.792,1,0.0675,-0.43542,-0.74458
-74.652,-100.07,-81.478,-88.397,1,-0.11536,-0.52604,-0.79349
-76.948,-100.09,-83.845,-87.85,1,-0.084028,-0.67691,-0.61198
-78.011,-100.08,-85.412,-88.204,1,-0.22587,-0.72378,-0.53021
-78.071,-100.02,-86.002,-89.219,1,-0.2599,-0.57917,-0.65833
-77.584,-99.943,-85.67,-90.462,1,-0.28576,-0.49253,-0.73993
-77.042,-99.874,-84.669,-91.469,1,-0.26552,-0.52823,-0.70979
-76.809,-99.848,-83.369,-91.904,1,-0.27813,-0.54531,-0.69844
-77.015,-99.881,-82.152,-91.673,1,-0.30347,-0.60097,-0.62458
-77.558,-99.965,-81.312,-90.934,1,-0.25833,-0.59236,-0.66458
-78.186,-100.07,-80.988,-90.02,1,-0.23281,-0.62031,-0.65
-78.631,-100.16,-81.147,-89.297,1,-0.23542,-0.62604,-0.62917
-78.729,-100.19,-81.616,-89.014,1,-0.22604,-0.63299,-0.63889
-78.483,-100.14,-82.149,-89.203,1,-0.22073,-0.64594,-0.625
-78.06,-100.04,-82.51,-89.662,1,-0.225,-0.63125,-0.62917
