Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-100,-69.333,-100,-85.5,2,-0.092188,0.81979,-0.44948
-100,-80.667,-100,-82,2,0.034375,0.87187,0.066667
-100,-75.5,-100,-86.75,2,0.0023437,0.87266,0.37266
-100,-74.8,-100,-81.5,2,-0.015156,0.80547,0.45281
-100,-81.2,-100,-81.667,2,0.010625,0.82333,0.51687
-100,-65,-100,-84,2,-0.11016,0.91719,-0.25938
-100,-72.25,-100,-100,2,-0.053125,0.68437,0.39687
-100,-71.25,-100,-100,2,-0.084375,0.74375,0.35
-100,-75.333,-100,-100,2,0,0.21875,0.95625
-100,-65,-100,-100,2,-0.082812,0.65625,0.20938
-100,-71.8,-100,-100,2,-0.20375,0.46125,-0.77125
-100,-65,-100,-100,2,-0.10938,0.825,-0.31875
-100,-67.6,-100,-100,2,0.0625,0.75875,0.09625
-100,-80.75,-100,-98,2,-0.0375,0.76641,-0.49766
-100,-71,-100,-100,2,-0.29375,0.77917,-0.41042
-100,-70,-100,-100,2,-0.089583,0.91458,-0.23333
-100,-73.4,-100,-100,2,-0.14875,0.85125,-0.3175
-100,-73.5,-100,-100,2,-0.053125,0.89219,-0.2625
-100,-78.2,-100,-100,2,0.03625,0.91375,0.0525
-100,-76.4,-100,-88,2,0.01,0.91438,0.26875
-100,-59.5,-100,-100,2,0.59531,0.53906,0.057813
-93,-62,-100,-86,2,1.025,0.34271,0.092708
-100,-69.25,-100,-100,2,1.1516,0.40078,-0.10156
-100,-64,-100,-85,2,1.0453,0.42812,-0.1375
-100,-75.5,-100,-85,2,0.26172,0.55625,0.64219
-100,-74.333,-100,-76,2,-0.091667,0.92292,0.17917
-100,-72.667,-100,-86,2,-0.03151,0.64583,0.20781
-100,-82.2,-100,-100,2,0.00625,0.68,-0.275
-100,-68.667,-100,-100,2,-0.060417,0.8625,-0.064583
-100,-64.8,-100,-86,2,-0.06125,0.73875,0.52875
-100,-73.5,-100,-92,2,-0.22266,0.92109,0.057813
-100,-79.8,-100,-100,2,-0.11125,0.8525,-0.29
-100,-76.75,-100,-87,2,-0.053125,0.66406,-0.25312
-100,-69.25,-100,-100,2,0.67656,0.51563,0.0125
